yr,ZIP Code,Earned Prem,Earned Exp,county_fips5,hpi_change,hpi,state,flood_frequency,flood_property_damage,flood_duration_hours,heat_stress_index,drought_annual_mean_index,fire_frequency,fire_size,deaths_hurricane,injuries_hurricane,damage_hurricane,real_gdp,unemployment_rate,prop_rate,county_fips,total_home_purchase,total_amt_purchase,total_population,prem_per_unit
2018,95922,147183,84,06115,7.42,457.07,CALIFORNIA,2.0,1020000.0,147.27,0.4900247913572198,-1.82,74.0,280.67,0.0,0.0,0.0,3191495,6.4,1.109,6115.0,1252.0,304270000.0,77418.0,1752.1785714285713
2019,95922,135164,79,06115,7.4,490.9,CALIFORNIA,0.0,0.0,0.0,0.5623662826314941,1.75,41.0,60.28,0.0,0.0,0.0,3313354,6.2,1.117,6115.0,1296.0,342430000.0,78549.0,1710.9367088607594
2020,95922,124821,77,06115,4.99,515.38,CALIFORNIA,0.0,0.0,0.0,0.5226502131059924,-1.86,19.0,1360.45,0.0,0.0,0.0,3200163,10.6,1.116,6115.0,1437.0,427705000.0,82001.0,1621.051948051948
2021,95923,149580,96,06063,,,,,,,,,,,,,,,,,,,,,1558.125
2018,95923,109499,92,06063,5.05,443.52,CALIFORNIA,0.0,0.0,0.0,0.2954515348068507,-0.65,71.0,264.56,0.0,0.0,0.0,918785,7.6,1.088,6063.0,206.0,46200000.0,18830.0,1190.2065217391305
2019,95923,121367,93,06063,6.95,474.36,CALIFORNIA,0.0,0.0,0.0,0.284316065444378,1.48,60.0,54772.18,0.0,0.0,0.0,1021637,7.8,1.089,6063.0,195.0,43565000.0,19052.0,1305.021505376344
2020,95923,131729,93,06063,3.11,489.11,CALIFORNIA,0.0,0.0,0.0,0.2594350309899302,-1.94,114.0,360985.56,0.0,0.0,0.0,895325,11.0,1.108,6063.0,239.0,61465000.0,19761.0,1416.4408602150538
2021,95924,22520,15,06057,,,,,,,,,,,,,,,,,,,,,1501.3333333333333
2018,95924,14573,15,06057,4.92,856.38,CALIFORNIA,4.0,100000.0,48.0,0.3575140462153133,-0.78,149.0,86.1,0.0,0.0,0.0,4290012,3.5,1.069,6057.0,1135.0,401185000.0,99472.0,971.5333333333333
2019,95924,16861,16,06057,2.98,881.93,CALIFORNIA,7.0,0.0,0.0,0.3593393625051767,1.36,66.0,31.13,0.0,0.0,0.0,4393298,3.4,1.072,6057.0,1213.0,449955000.0,99648.0,1053.8125
2020,95924,19997,16,06057,2.39,903.03,CALIFORNIA,0.0,0.0,0.0,0.3053165997169049,-1.69,119.0,873.89,0.0,0.0,0.0,4304596,8.1,1.075,6057.0,1530.0,631310000.0,102267.0,1249.8125
2021,95925,62924,44,06115,,,,,,,,,,,,,,,,,,,,,1430.090909090909
