county_fips5,yr,index_nsa
06043,2024,531.44
06045,2021,1299.79
06045,2022,1405.42
06045,2023,1369.42
06045,2024,1425.47
06047,2021,1051.37
06047,2022,1222.81
06047,2023,1224.52
06047,2024,1302.05
06049,2021,260.42
06049,2022,304.4
06049,2023,324.08
06049,2024,327.85
06051,2021,577.92
06051,2022,679.35
06051,2023,682.57
06051,2024,711.2
06053,2021,1636.73
06053,2022,1877.47
06053,2023,1952.51
06053,2024,2054.63
06055,2021,1763.85
06055,2022,1946.58
06055,2023,1982.25
06055,2024,2055.76
06057,2021,1033.71
06057,2022,1134.36
06057,2023,1115.8
06057,2024,1136.7
06059,2021,1616.68
06059,2022,1881.49
06059,2023,2018.48
06059,2024,2187.12
06061,2021,1222.7
06061,2022,1388.11
06061,2023,1370.46
06061,2024,1413.83
06063,2021,541.13
06063,2022,646.48
06063,2023,647.07
06063,2024,608.4
06065,2021,1200.95
06065,2022,1430.05
06065,2023,1477.54
06065,2024,1563.83
06067,2021,1292.33
06067,2022,1478.88
06067,2023,1466.43
06067,2024,1521.99
06069,2021,1633.48
06069,2022,1818.96
06069,2023,1769.5
06069,2024,1807.88
06071,2021,1315.6
06071,2022,1561.06
06071,2023,1604.45
06071,2024,1690.41
06073,2021,1606.81
06073,2022,1899.68
06073,2023,2014.64
06073,2024,2165.13
06075,2021,2408.98
06075,2022,2678.37
06075,2023,2647.73
06075,2024,2720.94
06077,2021,1100.28
06077,2022,1271.13
06077,2023,1251.74
06077,2024,1306.2
06079,2021,2032.04
06079,2022,2351.26
06079,2023,2563.16
06079,2024,2629.12
06081,2021,2149.22
06081,2022,2439.61
06081,2023,2569.25
06081,2024,2641.38
06083,2021,1863.9
06083,2022,2225.94
06083,2023,2380.88
06083,2024,2520.53
06085,2021,2297.5
06085,2022,2658.54
06085,2023,2825.72
06085,2024,2983.76
06087,2021,2062.25
06087,2022,2377.72
06087,2023,2356.96
06087,2024,2416.52
06089,2021,699.3
06089,2022,776.81
06089,2023,788.11
06089,2024,794.63
06091,2021,286.46
06091,2022,312.43
06091,2023,295.15
06091,2024,318.44
06093,2021,410.12
06093,2022,479.38
06093,2023,472.99
06093,2024,476.51
06095,2021,1367.54
06095,2022,1529.42
06095,2023,1507.37
06095,2024,1562.2
06097,2021,1697.76
06097,2022,1877.04
06097,2023,1916.45
06097,2024,1959.37
06099,2021,1162.59
06099,2022,1325.45
06099,2023,1333.08
06099,2024,1392.13
06101,2021,931.74
06101,2022,1058.09
06101,2023,1050.29
06101,2024,1102.5
06103,2021,507.97
06103,2022,584.51
06103,2023,542.53
06103,2024,565.29
06105,2021,267.96
06105,2022,279.32
06105,2023,303.2
06105,2024,316.95
06107,2021,832.01
06107,2022,970.14
06107,2023,1023.09
06107,2024,1072.12
06109,2021,684.49
06109,2022,765.48
06109,2023,776.38
06109,2024,783.57
06111,2021,1718.75
06111,2022,1983.89
06111,2023,2069
06111,2024,2189.76
06113,2021,1637.61
06113,2022,1879.38
06113,2023,1850.58
06113,2024,1916.97
06115,2021,609.92
06115,2022,696.89
06115,2023,681.15
06115,2024,705.9
08001,2021,1214.45
08001,2022,1411.73
08001,2023,1425.87
08001,2024,1451.3
08003,2021,311.43
08003,2022,370.05
08003,2023,431.38
08003,2024,415.34
08005,2021,1148.48
08005,2022,1340.03
08005,2023,1350.78
08005,2024,1380.12
08007,2021,417.04
08007,2022,512.12
08007,2023,537.45
08007,2024,592.88
08011,2021,223.8
08011,2022,242.28
08011,2023,277.32
08011,2024,
08013,2021,1448.78
08013,2022,1702.61
08013,2023,1732.81
08013,2024,1779.74
08014,2021,875.97
08014,2022,1013.66
08014,2023,1045.13
08014,2024,1068.01
08015,2021,676.69
08015,2022,836.01
08015,2023,878.33
08015,2024,938.44
08019,2021,496.1
08019,2022,587.29
08019,2023,602.95
08019,2024,636.23
08021,2021,187.89
08021,2022,223.6
08021,2023,
08021,2024,
08025,2021,145.49
08025,2022,168.35
08025,2023,208.4
08025,2024,184.05
08027,2021,251.46
08027,2022,310.37
08027,2023,340.36
08027,2024,374.84
08029,2021,454.33
08029,2022,531.57
08029,2023,568.21
08029,2024,631.48
08031,2021,1774.24
08031,2022,2039.08
08031,2023,2071.92
08031,2024,2088.14
08033,2021,111.48
08033,2022,
08033,2023,
