cbsa_code,cbsa_title,county_fips5,county/county_equivalent,state_name,place_name,place_id,yr,index_nsa,index_prev,hpi_change,hpi_yoy
11540,"Appleton, WI",55015,Calumet County,Wisconsin,"Appleton, WI",11540,2022,256.5,221.6825,34.817499999999995,15.706020998500115
11540,"Appleton, WI",55015,Calumet County,Wisconsin,"Appleton, WI",11540,2023,285.1525,256.5,28.652499999999975,11.170565302144242
11540,"Appleton, WI",55015,Calumet County,Wisconsin,"Appleton, WI",11540,2024,308.9125,285.1525,23.760000000000048,8.332383549153533
11540,"Appleton, WI",55015,Calumet County,Wisconsin,"Appleton, WI",11540,2025,320.63,308.9125,11.717499999999973,3.7931453081374134
11540,"Appleton, WI",55087,Outagamie County,Wisconsin,"Appleton, WI",11540,2022,256.5,221.6825,34.817499999999995,15.706020998500115
11540,"Appleton, WI",55087,Outagamie County,Wisconsin,"Appleton, WI",11540,2023,285.1525,256.5,28.652499999999975,11.170565302144242
11540,"Appleton, WI",55087,Outagamie County,Wisconsin,"Appleton, WI",11540,2024,308.9125,285.1525,23.760000000000048,8.332383549153533
11540,"Appleton, WI",55087,Outagamie County,Wisconsin,"Appleton, WI",11540,2025,320.63,308.9125,11.717499999999973,3.7931453081374134
11700,"Asheville, NC",37021,Buncombe County,North Carolina,"Asheville, NC",11700,2022,450.15,370.655,79.495,21.44716785150611
11700,"Asheville, NC",37021,Buncombe County,North Carolina,"Asheville, NC",11700,2023,483.3125,450.15,33.16250000000002,7.36698878151727
11700,"Asheville, NC",37021,Buncombe County,North Carolina,"Asheville, NC",11700,2024,507.3225,483.3125,24.00999999999999,4.967800336221395
11700,"Asheville, NC",37021,Buncombe County,North Carolina,"Asheville, NC",11700,2025,520.55,507.3225,13.227499999999964,2.6073158592414103
11700,"Asheville, NC",37089,Henderson County,North Carolina,"Asheville, NC",11700,2022,450.15,370.655,79.495,21.44716785150611
11700,"Asheville, NC",37089,Henderson County,North Carolina,"Asheville, NC",11700,2023,483.3125,450.15,33.16250000000002,7.36698878151727
11700,"Asheville, NC",37089,Henderson County,North Carolina,"Asheville, NC",11700,2024,507.3225,483.3125,24.00999999999999,4.967800336221395
11700,"Asheville, NC",37089,Henderson County,North Carolina,"Asheville, NC",11700,2025,520.55,507.3225,13.227499999999964,2.6073158592414103
