fips,year,prop_rate
1117,2016,
1117,2017,
1117,2018,
1117,2019,
1117,2020,
1119,2000,
1119,2001,
1119,2002,
1119,2003,0.363
1119,2004,0.363
1119,2005,0.363
1119,2006,0.363
1119,2007,0.363
1119,2008,0.363
1119,2009,0.358
1119,2010,0.358
1119,2011,0.363
1119,2012,0.358
1119,2013,0.358
1119,2014,0.358
1119,2015,0.358
1119,2016,
1119,2017,
1119,2018,
1119,2019,
1119,2020,
1121,2000,
1121,2001,
1121,2002,
1121,2003,0.3
1121,2004,0.3
1121,2005,0.3
1121,2006,0.3
1121,2007,0.3
1121,2008,0.3
1121,2009,0.3
1121,2010,0.3
1121,2011,0.3
1121,2012,0.3
1121,2013,0.3
1121,2014,0.3
1121,2015,0.3
1121,2016,
1121,2017,
1121,2018,
1121,2019,
1121,2020,
1123,2000,
1123,2001,
1123,2002,
1123,2003,0.26
1123,2004,0.26
1123,2005,0.26
1123,2006,0.26
1123,2007,0.285
1123,2008,0.285
1123,2009,0.285
1123,2010,0.285
1123,2011,0.285
1123,2012,0.285
1123,2013,0.285
1123,2014,0.285
1123,2015,0.285
1123,2016,
1123,2017,
1123,2018,
1123,2019,
1123,2020,
1125,2000,
1125,2001,
1125,2002,
1125,2003,0.345
1125,2004,0.345
1125,2005,0.345
1125,2006,0.3125
1125,2007,0.315
1125,2008,0.315
1125,2009,0.2825
1125,2010,0.2825
1125,2011,0.2825
1125,2012,0.2825
1125,2013,0.2825
1125,2014,0.2825
1125,2015,0.2825
1125,2016,
1125,2017,
1125,2018,
1125,2019,
1125,2020,
1127,2000,
1127,2001,
1127,2002,
1127,2003,0.23300001
1127,2004,0.23300001
1127,2005,0.23300001
1127,2006,0.23300001
1127,2007,0.23300001
1127,2008,0.23300001
1127,2009,0.24300002
1127,2010,0.24300002
1127,2011,0.24300002
1127,2012,0.24300002
1127,2013,0.24300002
1127,2014,0.24300002
1127,2015,0.24300002
1127,2016,
1127,2017,
1127,2018,
1127,2019,
1127,2020,
1129,2000,
1129,2001,
1129,2002,
1129,2003,0.285
1129,2004,0.285
1129,2005,0.285
1129,2006,0.285
1129,2007,0.285
1129,2008,0.285
1129,2009,0.285
1129,2010,0.285
1129,2011,0.285
1129,2012,0.285
1129,2013,0.285
1129,2014,0.285
1129,2015,0.285
1129,2016,
1129,2017,
1129,2018,
1129,2019,
1129,2020,
1131,2000,
1131,2001,
1131,2002,
1131,2003,0.315
1131,2004,0.315
1131,2005,0.315
1131,2006,0.315
1131,2007,0.315
1131,2008,0.315
1131,2009,0.315
1131,2010,0.345
1131,2011,0.345
1131,2012,0.345
1131,2013,0.345
1131,2014,0.345
1131,2015,0.345
1131,2016,
1131,2017,
1131,2018,
1131,2019,
1131,2020,
1133,2000,
1133,2001,
1133,2002,
1133,2003,0.245
1133,2004,0.245
1133,2005,0.245
1133,2006,0.245
1133,2007,0.245
1133,2008,0.245
1133,2009,0.245
1133,2010,0.245
1133,2011,0.245
1133,2012,0.245
1133,2013,0.245
1133,2014,0.245
1133,2015,0.245
1133,2016,
1133,2017,
1133,2018,
1133,2019,
1133,2020,
2000,2000,
2000,2001,
2000,2002,
2000,2003,
2000,2004,
2000,2005,
2000,2006,
2000,2007,
2000,2008,
2000,2009,
2000,2010,
2000,2011,
2000,2012,
2000,2013,
2000,2014,
2000,2015,
2000,2016,
2000,2017,
2000,2018,
2000,2019,
2000,2020,
2013,2000,
2013,2001,
2013,2002,
2013,2003,
2013,2004,
2013,2005,
2013,2006,
2013,2007,
2013,2008,
2013,2009,
2013,2010,
2013,2011,
2013,2012,
2013,2013,
2013,2014,
2013,2015,
2013,2016,
2013,2017,
2013,2018,
2013,2019,
2013,2020,
2016,2000,
2016,2001,
2016,2002,
2016,2003,
2016,2004,
2016,2005,
2016,2006,
2016,2007,
2016,2008,
2016,2009,
2016,2010,
2016,2011,
2016,2012,
2016,2013,
2016,2014,
2016,2015,
2016,2016,
2016,2017,
2016,2018,
2016,2019,
2016,2020,
2020,2000,
2020,2001,
2020,2002,
2020,2003,
2020,2004,
2020,2005,
2020,2006,
2020,2007,
2020,2008,
2020,2009,
2020,2010,
2020,2011,
2020,2012,
2020,2013,
2020,2014,
2020,2015,
2020,2016,
2020,2017,
2020,2018,
2020,2019,
2020,2020,
2050,2000,
2050,2001,
2050,2002,
2050,2003,
2050,2004,
2050,2005,
2050,2006,
2050,2007,
2050,2008,
2050,2009,
2050,2010,
2050,2011,
2050,2012,
2050,2013,
2050,2014,
2050,2015,
2050,2016,
2050,2017,
2050,2018,
2050,2019,
2050,2020,
2060,2000,
2060,2001,
2060,2002,
2060,2003,
2060,2004,
2060,2005,
2060,2006,
2060,2007,
2060,2008,
2060,2009,
2060,2010,
2060,2011,
2060,2012,
2060,2013,
2060,2014,
2060,2015,
2060,2016,
2060,2017,
2060,2018,
2060,2019,
2060,2020,
2068,2000,
2068,2001,
2068,2002,
2068,2003,
2068,2004,
2068,2005,
2068,2006,
2068,2007,
2068,2008,
2068,2009,
2068,2010,
2068,2011,
2068,2012,
2068,2013,
2068,2014,
2068,2015,
2068,2016,
2068,2017,
2068,2018,
2068,2019,
2068,2020,
2070,2000,
2070,2001,
2070,2002,
2070,2003,
2070,2004,
2070,2005,
2070,2006,
2070,2007,
2070,2008,
2070,2009,
2070,2010,
2070,2011,
2070,2012,
2070,2013,
