"YEAR","county_fips","total_home_purchase","total_amt_purchase"
2000,"18019",1713,148541000
2000,"18021",416,27152000
2000,"18023",469,37147000
2000,"18025",74,4701000
2000,"18027",114,7257000
2000,"18029",725,77309000
2000,"18031",282,23278000
2000,"18033",664,54544000
2000,"18035",1465,115147000
2000,"18037",361,32362000
2000,"18039",2858,247978000
2000,"18041",306,20152000
2000,"18043",1202,119833000
2000,"18045",122,8568000
2000,"18047",197,17835000
2000,"18049",206,16580000
2000,"18051",338,23868000
2000,"18053",485,34209000
2000,"18055",196,11997000
2000,"18057",6375,1036140000
2000,"18059",1070,134284000
2000,"18061",550,45205000
2000,"18063",2643,321070000
2000,"18065",560,42504000
2000,"18067",1486,131532000
2000,"18069",527,37041000
2000,"18071",468,34781000
2000,"18073",305,25257000
2000,"18075",111,6148000
2000,"18077",340,26169000
2000,"18079",277,19502000
2000,"18081",2478,279638000
2000,"18083",190,12594000
2000,"18085",955,83767000
2000,"18087",281,24835000
2000,"18089",5982,595283000
2000,"18091",1045,91582000
2000,"18093",322,22213000
2000,"18095",1751,134452000
2000,"18097",14308,1510853000
2000,"18099",475,41008000
2000,"18101",60,3148000
2000,"18103",304,21337000
2000,"18105",1389,139460000
2000,"18107",255,19807000
2000,"18109",1134,125492000
2000,"18111",118,8728000
2000,"18113",468,35868000
2000,"18115",79,7141000
2000,"18117",167,8891000
2000,"18119",143,10293000
2000,"18121",138,9760000
2000,"18123",154,8975000
2000,"18125",102,5905000
2000,"18127",2287,268590000
2000,"18129",374,30222000
2000,"18131",110,7313000
2000,"18133",364,31612000
2000,"18135",177,9743000
2000,"18137",257,21717000
2000,"18139",191,13651000
2000,"18141",4060,363452000
2000,"18143",310,19185000
2000,"18145",574,53638000
2000,"18147",143,9768000
2000,"18149",218,14586000
2000,"18151",437,40296000
2000,"18153",180,10031000
2000,"18155",75,5918000
2000,"18157",2367,257450000
2000,"18159",205,16684000
2000,"18161",65,9268000
2000,"18163",2741,237734000
2000,"18165",214,13028000
2000,"18167",1470,113888000
2000,"18169",336,22864000
2000,"18171",43,3073000
2000,"18173",1019,115959000
2000,"18175",282,23341000
2000,"18177",722,62016000
2000,"18179",502,39151000
2000,"18181",296,25597000
2000,"18183",516,44120000
2000,"19001",19,970000
2000,"19003",10,688000
2000,"19005",37,2278000
2000,"19007",53,2615000
2000,"19009",18,918000
2000,"19011",277,22025000
2000,"19013",1953,142069000
2000,"19015",196,13799000
2000,"19017",93,7573000
2000,"19019",140,8634000
2000,"19021",81,4117000
2000,"19023",45,2698000
2000,"19025",56,2941000
2000,"19027",45,3281000
2000,"19029",95,4510000
2000,"19031",142,10434000
2000,"19033",366,24463000
2000,"19035",45,2331000
2000,"19037",24,1317000
2000,"19039",40,2636000
2000,"19041",115,9101000
2000,"19043",38,2250000
2000,"19045",189,11529000
2000,"19047",65,3902000
2000,"19049",909,113457000
2000,"19051",35,1770000
2000,"19053",42,2386000
2000,"19055",51,3573000
2000,"19057",237,14341000
2000,"19059",187,21489000
2000,"19061",1064,101364000
2000,"19063",43,1967000
2000,"19065",52,3004000
2000,"19067",47,2349000
2000,"19069",24,1441000
2000,"19071",34,2188000
2000,"19073",44,1928000
2000,"19075",58,4184000
2000,"19077",69,5690000
2000,"19079",74,4679000
2000,"19081",59,3519000
2000,"19083",65,3345000
2000,"19085",124,9188000
2000,"19087",93,6429000
2000,"19089",29,1776000
2000,"19091",107,7259000
2000,"19093",5,245000
2000,"19095",99,6962000
2000,"19097",97,5755000
2000,"19099",338,26363000
2000,"19101",70,4246000
2000,"19103",2148,239164000
